name,cuisine,servings,prep_time,cook_time,total_time,family,ingredients_str,steps_str,ingredient_set
Ginataang Alimasag,Bicolano,4,15 mins,25 mins,40 mins,ginataan,"Crab: 2 large;Pork: 250g;CoconutMilk: 2 cups;SilingLabuyo: 10 pieces;Garlic: 5 cloves;Onions: 1;Ginger: 1 thumb","1. Sauté garlic, onion, and ginger.;2. Add pork and brown.;3. Add crab pieces, cook 3 minutes.;4. Pour coconut milk, simmer 15 minutes.;5. Add chilies, simmer 5 minutes.;6. Serve hot.","['onion', 'ginger', 'pork', 'coconut_milk', 'crab', 'garlic', 'chili']"
Ginataang Puso ng Saging,Filipino,4,15 mins,25 mins,40 mins,ginataan,"CoconutMilk: 2 cups;Shrimp: 1/2 cup;Pork: 200g;Garlic: 4 cloves;Onions: 1;Ginger: 1 thumb;SilingLabuyo: 5 pieces","1. Sauté garlic, onion, and ginger.;2. Add pork and shrimp, cook until done.;3. Pour coconut milk, simmer 15 minutes.;4. Add chilies, cook 2 minutes.;5. Adjust seasoning.;6. Serve hot.","['shrimp', 'onion', 'ginger', 'pork', 'coconut_milk', 'garlic', 'chili']"
Ginataang Kalabasa,Filipino,4,10 mins,20 mins,30 mins,ginataan,"Pumpkin: 2 cups;Shrimp: 1/2 cup;CoconutMilk: 2 cups;Garlic: 4 cloves;Onions: 1;Ginger: 1 thumb;FishSauce: 2 tbsp","1. Sauté garlic, onion, and ginger.;2. Add shrimp, cook until pink.;3. Add pumpkin, cook 3 minutes.;4. Pour coconut milk, simmer 10 minutes.;5. Season with fish sauce.;6. Serve hot.","['shrimp', 'onion', 'ginger', 'coconut_milk', 'fish', 'garlic', 'pumpkin']"
Adobong Kangkong,Filipino,4,5 mins,10 mins,15 mins,adobo,"WaterSpinach: 1 bundle;Garlic: 5 cloves;Onions: 1;Pepper: 1/2 tsp","1. Sauté garlic and onion.;2. Add kangkong stems, cook 2 minutes.;3. Add water and pepper, DO NOT STIR for 1 minute.;4. Add kangkong leaves, cook 2 minutes.;5. Mix well.;6. Serve immediately.","['pepper', 'water', 'onion', 'garlic']"
Ginataang Tilapia,Filipino,4,10 mins,20 mins,30 mins,ginataan,"Fish: 4 pieces;CoconutMilk: 2 cups;Eggplant: 1;Garlic: 4 cloves;Onions: 1;Ginger: 1 thumb;SilingLabuyo: 3 pieces;FishSauce: 2 tbsp;Tanglad: 2 stalks","1. Lightly fry fish, set aside.;2. Sauté garlic, onion, and ginger.;3. Pour coconut milk, add tanglad, simmer 5 minutes.;4. Add eggplant, simmer 5 minutes.;5. Add fish and chilies, add fish sauce, simmer 3 minutes.;6. Remove tanglad and serve.","['eggplant', 'lemongrass', 'onion', 'ginger', 'coconut_milk', 'fish', 'garlic', 'chili']"
Ginataang Kuhol,Bicolano,4,15 mins,25 mins,40 mins,ginataan,"CoconutMilk: 2 cups;Eggplant: 1;Garlic: 4 cloves;Onions: 1;Ginger: 1 thumb;SilingLabuyo: 5 pieces;FishSauce: 2 tbsp;Tanglad: 2 stalks","1. Sauté garlic, onion, and ginger.;2. Pour coconut milk, add tanglad, simmer 10 minutes.;3. Add eggplant, simmer 5 minutes.;4. Add fish sauce and chilies, cook 2 minutes.;5. Remove tanglad.;6. Serve hot.","['eggplant', 'lemongrass', 'onion', 'ginger', 'coconut_milk', 'fish', 'garlic', 'chili']"
Sinantol,Bicolano,4,15 mins,30 mins,45 mins,other,"Pork: 250g;Shrimp: 1/2 cup;CoconutMilk: 2 cups;SilingLabuyo: 5 pieces;Garlic: 4 cloves;Onions: 1;Ginger: 1 thumb","1. Sauté garlic, onion, and ginger.;2. Add pork and shrimp, cook until done.;3. Pour coconut milk, simmer 15 minutes.;4. Add chilies, cook 2 minutes.;5. Adjust seasoning.;6. Serve hot.","['shrimp', 'onion', 'ginger', 'pork', 'coconut_milk', 'garlic', 'chili']"
Tinolang Isda,Filipino,4,10 mins,25 mins,35 mins,tinola,"Fish: 4 pieces;Ginger: 1 thumb;Garlic: 4 cloves;Onions: 1;Tomato: 1;Papaya: 2 cups;Pechay: 1 bundle;FishSauce: 2 tbsp","1. Sauté ginger, garlic, onion, and tomato.;2. Add water and fish sauce, bring to boil.;3. Add papaya, cook 7 minutes.;4. Gently add fish, cook 10 minutes.;5. Add pechay, cook 2 minutes.;6. Serve hot.","['onion', 'ginger', 'fish', 'garlic', 'pechay', 'tomato', 'papaya']"
Ginataang Upo,Filipino,4,10 mins,20 mins,30 mins,ginataan,"Upo: 3 cups;Shrimp: 1/2 cup;CoconutMilk: 2 cups;Garlic: 4 cloves;Onions: 1;Ginger: 1 thumb;FishSauce: 2 tbsp","1. Sauté garlic, onion, and ginger.;2. Add shrimp, cook until pink.;3. Add upo, cook 3 minutes.;4. Pour coconut milk, simmer 10 minutes.;5. Season with fish sauce.;6. Serve hot.","['shrimp', 'onion', 'ginger', 'coconut_milk', 'fish', 'garlic']"
Ginataang Mais,Filipino,4,10 mins,20 mins,30 mins,ginataan,"Corn: 3 cups;CoconutMilk: 2 cups;Shrimp: 1/2 cup;Garlic: 4 cloves;Onions: 1;Ginger: 1 thumb;FishSauce: 2 tbsp","1. Sauté garlic, onion, and ginger.;2. Add shrimp, cook until pink.;3. Add corn, cook 3 minutes.;4. Pour coconut milk, simmer 10 minutes.;5. Season with fish sauce.;6. Serve hot.","['corn', 'shrimp', 'onion', 'ginger', 'coconut_milk', 'fish', 'garlic']"
Paksiw na Isda,Filipino,4,10 mins,20 mins,30 mins,paksiw,"Fish: 4 pieces;Ginger: 1 thumb;Garlic: 6 cloves;Onions: 1;Eggplant: 1;SilingLabuyo: 3 pieces;FishSauce: 2 tbsp;Pepper: 1 tsp","1. Layer ginger, garlic, and onion in pot.;2. Place fish on top, add eggplant.;3. Add water, fish sauce, and pepper, DO NOT STIR.;4. Bring to boil, simmer 15 minutes.;5. Add chilies, cook 2 minutes.;6. Serve hot.","['pepper', 'eggplant', 'onion', 'ginger', 'fish', 'garlic', 'chili']"
Paksiw na Pata,Filipino,6,15 mins,120 mins,135 mins,paksiw,"Pork: 1.5 kg pork hock;Garlic: 10 cloves;Onions: 2;SabaBanana: 3;Pechay: 1 bundle;Pepper: 2 tbsp;Salt: 1 tsp","1. Boil pork hock with garlic, onions, and pepper for 1.5 hours.;2. Add banana, cook 10 minutes.;3. Add pechay, cook 2 minutes.;4. Season with salt.;5. Let sauce thicken.;6. Serve hot.","['pepper', 'salt', 'onion', 'pork', 'banana', 'garlic', 'pechay']"
Inihaw na Liempo,Filipino,4,240 mins,20 mins,260 mins,inihaw,"Pork: 1 kg belly;Kalamansi: 10 pieces;Garlic: 10 cloves;Pepper: 2 tbsp;Salt: 2 tsp","1. Pound garlic with salt and pepper.;2. Rub mixture all over pork.;3. Add kalamansi juice and marinate 4 hours.;4. Grill over charcoal 20 minutes, turning often.;5. Let rest 5 minutes.;6. Slice and serve.","['pepper', 'salt', 'pork', 'garlic', 'kalamansi']"
Inihaw na Manok,Filipino,4,240 mins,30 mins,270 mins,inihaw,"Chicken: 1 kg;Kalamansi: 10 pieces;Garlic: 10 cloves;Ginger: 1 thumb;Pepper: 1 tbsp;Salt: 1 tsp","1. Mix kalamansi juice, garlic, ginger, pepper, and salt.;2. Marinate chicken 4 hours.;3. Grill over charcoal 30 minutes, turning often.;4. Baste with marinade.;5. Cook until done.;6. Serve hot.","['pepper', 'salt', 'chicken', 'ginger', 'garlic', 'kalamansi']"
Inihaw na Pusit,Filipino,4,30 mins,15 mins,45 mins,inihaw,"Squid: 1 kg;Kalamansi: 8 pieces;Garlic: 6 cloves;Ginger: 1 thumb;Pepper: 1 tsp;Salt: 1 tsp","1. Clean squid thoroughly.;2. Mix kalamansi juice, garlic, ginger, pepper, and salt.;3. Marinate squid 30 minutes.;4. Grill over charcoal 15 minutes.;5. Do not overcook.;6. Serve with dipping sauce.","['pepper', 'salt', 'ginger', 'garlic', 'kalamansi', 'squid']"
Inihaw na Isda,Filipino,4,30 mins,20 mins,50 mins,inihaw,"Fish: 4 pieces;Kalamansi: 6 pieces;Garlic: 6 cloves;Ginger: 1 thumb;Tomato: 2;Onions: 1;Pepper: 1 tsp;Salt: 1 tsp","1. Clean and score fish.;2. Stuff belly with tomato, onion, ginger, and garlic.;3. Rub with kalamansi, salt, and pepper.;4. Grill over charcoal 20 minutes, turning once.;5. Cook until skin is crispy.;6. Serve hot.","['pepper', 'salt', 'onion', 'ginger', 'fish', 'garlic', 'kalamansi', 'tomato']"
Inihaw na Hipon,Filipino,4,30 mins,10 mins,40 mins,inihaw,"Shrimp: 500g;Kalamansi: 6 pieces;Garlic: 6 cloves;Pepper: 1 tsp;Salt: 1 tsp","1. Clean shrimp, leave shells on.;2. Mix kalamansi juice, garlic, pepper, and salt.;3. Marinate 30 minutes.;4. Grill over charcoal 10 minutes.;5. Turn once when pink.;6. Serve immediately.","['pepper', 'salt', 'shrimp', 'garlic', 'kalamansi']"
Ginisang Ampalaya,Filipino,4,10 mins,15 mins,25 mins,other,"BitterMelon: 2;Egg: 2;Tomato: 1;Onions: 1;Garlic: 4 cloves;Shrimp: 1/2 cup;FishSauce: 1 tbsp","1. Sauté garlic, onion, and tomato.;2. Add shrimp, cook until pink.;3. Add bitter melon, cook 5 minutes.;4. Season with fish sauce.;5. Push to side, scramble eggs.;6. Mix and serve.","['shrimp', 'egg', 'onion', 'fish', 'garlic', 'tomato']"
Ginisang Upo,Filipino,4,10 mins,15 mins,25 mins,other,"Upo: 3 cups;Shrimp: 1/2 cup;Tomato: 1;Onions: 1;Garlic: 4 cloves;FishSauce: 1 tbsp","1. Sauté garlic, onion, and tomato.;2. Add shrimp, cook until pink.;3. Add upo, cook 10 minutes.;4. Season with fish sauce.;5. Add water if needed.;6. Serve hot.","['shrimp', 'onion', 'fish', 'garlic', 'tomato']"
Ginisang Patola,Filipino,4,10 mins,15 mins,25 mins,other,"SpongeGourd: 3 cups;Shrimp: 1/2 cup;Tomato: 1;Onions: 1;Garlic: 4 cloves;FishSauce: 1 tbsp","1. Sauté garlic, onion, and tomato.;2. Add shrimp, cook until pink.;3. Add sponge gourd, cook 10 minutes.;4. Season with fish sauce.;5. Add water if needed.;6. Serve hot.","['shrimp', 'onion', 'fish', 'garlic', 'tomato']"
Tortang Talong,Filipino,4,10 mins,15 mins,25 mins,torta,"Eggplant: 4;Egg: 4;Garlic: 4 cloves;Onions: 1;Tomato: 1;Salt: 1 tsp;Pepper: 1/2 tsp","1. Grill eggplant until soft, peel skin.;2. Flatten with fork.;3. Beat eggs with salt and pepper.;4. Dip eggplant in egg mixture.;5. Fry until golden on both sides.;6. Serve with ketchup or fish sauce.","['pepper', 'eggplant', 'salt', 'egg', 'onion', 'garlic', 'tomato']"
Tortang Giniling,Filipino,4,15 mins,20 mins,35 mins,torta,"Pork: 250g ground;Egg: 4;Onions: 1;Garlic: 4 cloves;Tomato: 1;Pepper: 1 tsp;Salt: 1 tsp","1. Sauté garlic, onion, and tomato.;2. Add ground pork, cook until brown.;3. Season with salt and pepper, cool.;4. Beat eggs, mix with cooked pork.;5. Fry patties until golden on both sides.;6. Serve hot.","['pepper', 'salt', 'egg', 'onion', 'pork', 'garlic', 'tomato']"
Pritong Isda,Filipino,4,10 mins,15 mins,25 mins,fried,"Fish: 4 pieces;Garlic: 6 cloves;Salt: 1 tsp;Pepper: 1 tsp","1. Clean and score fish.;2. Rub with salt and pepper.;3. Heat oil in pan.;4. Fry fish until golden and crispy on both sides.;5. Drain excess oil.;6. Serve with vinegar dip and tomatoes.","['fish', 'garlic', 'salt', 'pepper']"
Pritong Manok,Filipino,4,30 mins,30 mins,60 mins,fried,"Chicken: 1 kg pieces;Garlic: 8 cloves;Kalamansi: 6 pieces;Salt: 1 tsp;Pepper: 1 tsp","1. Marinate chicken with kalamansi, garlic, salt, and pepper for 30 minutes.;2. Heat oil in pan.;3. Fry chicken pieces until golden brown.;4. Cover and cook through, about 25 minutes.;5. Drain excess oil.;6. Serve hot with rice.","['pepper', 'salt', 'chicken', 'garlic', 'kalamansi']"
Pritong Talong,Filipino,4,5 mins,15 mins,20 mins,fried,"Eggplant: 4;Garlic: 4 cloves crushed;Salt: 1 tsp","1. Slice eggplant lengthwise or in rounds.;2. Sprinkle with salt.;3. Heat oil in pan.;4. Fry eggplant until golden and soft.;5. Add crushed garlic while frying.;6. Drain and serve.","['salt', 'garlic', 'eggplant']"
Ensaladang Talong,Filipino,4,15 mins,10 mins,25 mins,salad,"Eggplant: 4;Tomato: 2;Onions: 1;FishSauce: 2 tbsp;Kalamansi: 4 pieces","1. Grill eggplant until soft.;2. Peel and chop roughly.;3. Chop tomatoes and onions.;4. Mix vegetables together.;5. Season with fish sauce and kalamansi juice.;6. Serve as side dish.","['eggplant', 'onion', 'fish', 'kalamansi', 'tomato']"
Ensaladang Pipino,Filipino,4,10 mins,0 mins,10 mins,salad,"Tomato: 3;Onions: 1;FishSauce: 2 tbsp;Kalamansi: 4 pieces;SilingLabuyo: 2 pieces","1. Slice tomatoes and onions thinly.;2. Chop chilies.;3. Mix vegetables in bowl.;4. Season with fish sauce and kalamansi juice.;5. Let sit 10 minutes.;6. Serve as side dish.","['onion', 'fish', 'chili', 'kalamansi', 'tomato']"
Sinaing na Isda,Filipino,4,10 mins,30 mins,40 mins,sinaing,"Fish: 4 pieces;Ginger: 1 thumb;Garlic: 8 cloves;Tomato: 2;SilingLabuyo: 4 pieces;FishSauce: 2 tbsp;Pepper: 1 tsp","1. Layer ginger and garlic in pot.;2. Place fish on top.;3. Add tomatoes and chilies.;4. Add fish sauce, pepper, and little water.;5. Cover and simmer 30 minutes.;6. Serve hot.","['pepper', 'ginger', 'fish', 'garlic', 'chili', 'tomato']"
Sinaing na Tulingan,Filipino,4,10 mins,45 mins,55 mins,sinaing,"Fish: 4 pieces tulingan;Ginger: 1 thumb;Garlic: 10 cloves;SilingLabuyo: 6 pieces;FishSauce: 3 tbsp;Pepper: 1 tsp","1. Layer ginger and garlic in pot.;2. Arrange fish in pot.;3. Add chilies, fish sauce, and pepper.;4. Add water to half-cover fish.;5. Simmer 45 minutes until sauce is thick.;6. Serve hot.","['pepper', 'ginger', 'fish', 'garlic', 'chili']"
Pinaputok na Tilapia,Filipino,4,15 mins,20 mins,35 mins,other,"Fish: 4 tilapia;Tomato: 2;Onions: 1;Ginger: 1 thumb;SilingLabuyo: 4 pieces;FishSauce: 2 tbsp;Kalamansi: 4 pieces","1. Score fish and season with salt.;2. Stuff with tomato, onion, ginger, and chilies.;3. Wrap each fish in foil or banana leaves.;4. Grill or bake 20 minutes.;5. Open and drizzle with fish sauce and kalamansi.;6. Serve hot.","['onion', 'ginger', 'fish', 'chili', 'kalamansi', 'tomato']"
Relyenong Manok,Filipino,6,45 mins,90 mins,135 mins,stuffed,"Chicken: 1 whole;Pork: 250g ground;Egg: 2;Garlic: 6 cloves;Onions: 1;Pepper: 1 tsp;Salt: 1 tsp","1. Debone chicken carefully, keeping skin intact.;2. Mix ground pork, eggs, garlic, onions, salt, and pepper.;3. Stuff mixture inside chicken.;4. Sew or tie opening.;5. Roast or bake 1.5 hours until golden.;6. Slice and serve.","['pepper', 'salt', 'chicken', 'egg', 'onion', 'pork', 'garlic']"
Relyenong Bangus,Filipino,4,30 mins,30 mins,60 mins,stuffed,"Fish: 2 large milkfish;Tomato: 2;Onions: 1;Garlic: 6 cloves;Egg: 1;Pepper: 1 tsp;Salt: 1 tsp","1. Carefully remove fish meat, keeping skin intact.;2. Flake fish meat and mix with chopped tomato, onion, garlic, egg, salt, and pepper.;3. Stuff mixture back into fish skin.;4. Wrap in foil or banana leaves.;5. Grill or bake 30 minutes.;6. Slice and serve.","['pepper', 'salt', 'egg', 'onion', 'fish', 'garlic', 'tomato']"
Sinuglaw,Visayan,4,20 mins,10 mins,30 mins,raw_salad,"Fish: 300g;Pork: 200g grilled;Onions: 2;Ginger: 1 thumb;SilingLabuyo: 5 pieces;Kalamansi: 8 pieces;FishSauce: 2 tbsp","1. Grill pork until crispy, chop into pieces.;2. Cube fresh fish and marinate in kalamansi juice 10 minutes.;3. Drain fish slightly.;4. Mix fish and pork with onions, ginger, and chilies.;5. Season with fish sauce and more kalamansi.;6. Serve cold.","['onion', 'ginger', 'pork', 'fish', 'chili', 'kalamansi']"
Kilawing Isda,Filipino,4,20 mins,0 mins,20 mins,raw_salad,"Fish: 500g fresh;Kalamansi: 12 pieces;Onions: 2;Ginger: 1 thumb;SilingLabuyo: 5 pieces;CoconutMilk: 1/2 cup;Salt: 1 tsp","1. Cube fresh fish.;2. Marinate in kalamansi juice 15 minutes.;3. Drain most liquid.;4. Add onions, ginger, chilies, and salt.;5. Mix in coconut milk.;6. Chill 30 minutes and serve.","['salt', 'onion', 'ginger', 'coconut_milk', 'fish', 'kalamansi', 'chili']"
Ginataang Gabi,Filipino,4,15 mins,25 mins,40 mins,ginataan,"TaroRoots: 3 cups cubed;CoconutMilk: 2 cups;Shrimp: 1/2 cup;Garlic: 4 cloves;Onions: 1;Ginger: 1 thumb;FishSauce: 2 tbsp;SilingLabuyo: 3 pieces","1. Sauté garlic, onion, and ginger.;2. Add shrimp, cook until pink.;3. Add taro, cook 5 minutes.;4. Pour coconut milk, simmer 15 minutes until taro is tender.;5. Add fish sauce and chilies.;6. Serve hot.","['shrimp', 'onion', 'ginger', 'coconut_milk', 'fish', 'garlic', 'chili', 'taro']"
Nilaga na Baka,Filipino,6,15 mins,120 mins,135 mins,nilaga,"Pork: 1 kg beef shank;Corn: 2 ears;Pumpkin: 2 cups;Pechay: 1 bundle;Onions: 1;Pepper: 1 tbsp;FishSauce: 3 tbsp","1. Boil beef in water 2 hours until tender.;2. Add onions and pepper.;3. Season with fish sauce.;4. Add corn, cook 10 minutes.;5. Add pumpkin, cook 10 minutes.;6. Add pechay, cook 2 minutes and serve.","['pepper', 'corn', 'onion', 'pork', 'fish', 'pechay', 'pumpkin']"
Nilaga na Baboy,Filipino,6,15 mins,90 mins,105 mins,nilaga,"Pork: 1 kg;Corn: 2 ears;Pumpkin: 2 cups;Pechay: 1 bundle;Onions: 1;Pepper: 1 tbsp;FishSauce: 3 tbsp","1. Boil pork in water 1 hour until tender.;2. Add onions and pepper.;3. Season with fish sauce.;4. Add corn, cook 10 minutes.;5. Add pumpkin, cook 10 minutes.;6. Add pechay, cook 2 minutes and serve.","['pepper', 'corn', 'onion', 'pork', 'fish', 'pechay', 'pumpkin']"
Sinigang na Isda,Filipino,4,15 mins,20 mins,35 mins,sinigang,"Fish: 4 pieces;Tomato: 2;Onions: 1;Okra: 8 pieces;Eggplant: 1;WaterSpinach: 1 bundle;SilingLabuyo: 2 pieces;FishSauce: 2 tbsp","1. Boil water with tomato and onion.;2. Add okra and eggplant, cook 5 minutes.;3. Season with fish sauce.;4. Gently add fish, cook 10 minutes.;5. Add water spinach and chilies, cook 1 minute.;6. Serve hot.","['eggplant', 'water', 'onion', 'fish', 'chili', 'okra', 'tomato']"
Pesang Isda,Filipino,4,15 mins,25 mins,40 mins,pesa,"Fish: 4 pieces;Ginger: 1 thumb;Garlic: 6 cloves;Onions: 1;Tomato: 2;Pechay: 1 bundle;FishSauce: 2 tbsp;Pepper: 1 tsp","1. Sauté ginger, garlic, and onion.;2. Add tomatoes, cook until soft.;3. Add water and fish sauce, bring to boil.;4. Add fish, simmer 15 minutes.;5. Add pechay and pepper, cook 2 minutes.;6. Serve hot.","['pepper', 'onion', 'ginger', 'fish', 'garlic', 'pechay', 'tomato']"
Caldereta,Filipino,6,20 mins,90 mins,110 mins,stew,"Beef: 1.5 kg;Potatoes: 3;Carrots: 2;Bell Pepper: 1;Tomato Sauce: 2 cups;Liver Spread: 1/2 cup;Cheese: 1/4 cup;Green Olives: 1/4 cup;Garlic: 6 cloves;Onion: 1;Bay Leaves: 2;Water: 2 cups;Oil: 2 tbsp","1. Brown beef in oil.;2. Sauté garlic, onion, and beef.;3. Add tomato sauce, liver spread, bay leaves, and water. Simmer 60-90 mins.;4. Add potatoes and carrots, cook 15 mins.;5. Add bell pepper, olives, and cheese. Cook 5 mins.;6. Serve hot.","['beef','potatoes','carrots','bell pepper','tomato sauce','liver spread','cheese','green olives','garlic','onion','bay leaves','water','oil']"
Chopsuey,Filipino,5,15 mins,10 mins,25 mins,stir-fry,"Pork: 250g;Cauliflower: 1 cup;Carrots: 1 cup;Cabbage: 2 cups;Snow Peas: 1 cup;Bell Pepper: 1;Broccoli: 1 cup;Garlic: 4 cloves;Onion: 1;Oyster Sauce: 3 tbsp;Soy Sauce: 1 tbsp;Chicken Broth: 1 cup;Cornstarch: 1 tbsp;Oil: 2 tbsp","1. Sauté garlic, onion, and pork until cooked.;2. Add carrots, cauliflower, broccoli. Stir-fry 3 mins.;3. Add broth, oyster sauce, soy sauce. Simmer 5 mins.;4. Add cabbage, bell pepper, snow peas. Cook 2 mins.;5. Thicken with cornstarch slurry.;6. Serve immediately.","['pork','cauliflower','carrots','cabbage','snow peas','bell pepper','broccoli','garlic','onion','oyster sauce','soy sauce','chicken broth','cornstarch','oil']"
Ginisang Gulay,Filipino,4,10 mins,15 mins,25 mins,stir-fry,"Ground Pork: 250g;Squash: 2 cups;String Beans: 1 cup;Eggplant: 2;Tomatoes: 2;Garlic: 4 cloves;Onion: 1;Fish Sauce: 1 tbsp;Oil: 2 tbsp;Water: 1/2 cup","1. Sauté garlic, onion, and tomatoes.;2. Add ground pork, cook until brown.;3. Add squash and water, simmer 5 mins.;4. Add string beans and eggplant, cook 7 mins.;5. Season with fish sauce.;6. Serve hot.","['ground pork','squash','string beans','eggplant','tomatoes','garlic','onion','fish sauce','oil','water']"
